,online_order,book_table,rate,votes,location,rest_type,cost_two,type,city,Beverages,Biryani,Cafe,Chinese,Continental,Desserts,Fast Food,Italian,North Indian,South Indian
16194,Yes,No,4,621,HSR,Quick Bites,400,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16197,Yes,No,4,783,HSR,Quick Bites,300,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16198,Yes,No,4,897,Bellandur,Casual Dining,750,Delivery,HSR,0,1,0,0,0,0,0,0,0,0
16201,Yes,Yes,5,859,HSR,Cafe,800,Delivery,HSR,1,0,1,0,1,1,0,1,0,0
16201,Yes,Yes,5,859,HSR, Casual Dining,800,Delivery,HSR,1,0,1,0,1,1,0,1,0,0
16203,Yes,No,5,119,HSR,Quick Bites,200,Delivery,HSR,0,0,0,0,0,0,0,0,0,1
16204,Yes,No,4,78,HSR,Quick Bites,300,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16205,Yes,Yes,5,1339,HSR,Casual Dining,800,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16206,Yes,No,4,75,Bellandur,Bakery,500,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16206,Yes,No,4,75,Bellandur, Dessert Parlor,500,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16207,Yes,Yes,5,1401,Sarjapur Road,Microbrewery,1500,Delivery,HSR,0,0,0,0,1,0,0,0,0,0
16207,Yes,Yes,5,1401,Sarjapur Road, Casual Dining,1500,Delivery,HSR,0,0,0,0,1,0,0,0,0,0
16211,Yes,Yes,5,7221,Sarjapur Road,Microbrewery,1400,Delivery,HSR,0,0,0,0,1,0,0,1,1,0
16211,Yes,Yes,5,7221,Sarjapur Road, Pub,1400,Delivery,HSR,0,0,0,0,1,0,0,1,1,0
16212,Yes,No,4,347,HSR,Quick Bites,300,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16213,Yes,No,5,561,Sarjapur Road,Dessert Parlor,500,Delivery,HSR,1,0,1,0,0,1,0,0,0,0
16213,Yes,No,5,561,Sarjapur Road, Cafe,500,Delivery,HSR,1,0,1,0,0,1,0,0,0,0
16217,Yes,No,4,60,HSR,Quick Bites,400,Delivery,HSR,1,0,0,0,0,0,1,0,1,0
16219,Yes,No,4,372,Bellandur,Casual Dining,550,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16221,Yes,No,4,570,HSR,Quick Bites,300,Delivery,HSR,0,0,0,0,0,1,0,0,1,0
16222,Yes,No,4,266,HSR,Casual Dining,550,Delivery,HSR,0,0,0,0,0,0,0,0,0,1
16223,Yes,Yes,5,4108,Sarjapur Road,Casual Dining,1400,Delivery,HSR,0,0,0,0,1,0,0,0,1,0
16223,Yes,Yes,5,4108,Sarjapur Road, Bar,1400,Delivery,HSR,0,0,0,0,1,0,0,0,1,0
16224,Yes,No,4,241,Bellandur,Quick Bites,200,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16226,Yes,No,4,434,HSR,Casual Dining,600,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16227,Yes,No,4,100,HSR,Dessert Parlor,450,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16228,Yes,No,5,248,Sarjapur Road,Casual Dining,800,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16231,Yes,No,4,181,HSR,Delivery,600,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16232,Yes,No,4,121,Koramangala 1st Block,Quick Bites,400,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16234,Yes,Yes,5,125,Sarjapur Road,Casual Dining,700,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16235,Yes,No,4,154,Bellandur,Sweet Shop,400,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16236,Yes,No,4,340,HSR,Quick Bites,400,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16239,Yes,No,5,807,Bellandur,Casual Dining,1700,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16239,Yes,No,5,807,Bellandur, Pub,1700,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16241,No,Yes,5,1506,Sarjapur Road,Pub,1900,Delivery,HSR,0,0,0,0,1,0,0,1,1,0
16242,Yes,No,5,492,Bellandur,Bakery,500,Delivery,HSR,0,0,0,0,0,1,0,1,0,0
16242,Yes,No,5,492,Bellandur, Dessert Parlor,500,Delivery,HSR,0,0,0,0,0,1,0,1,0,0
16243,Yes,No,4,77,HSR,Quick Bites,350,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16244,Yes,No,5,324,HSR,Dessert Parlor,180,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16247,Yes,No,5,61,HSR,Kiosk,200,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16248,Yes,Yes,5,2389,Koramangala 4th Block,Casual Dining,1000,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16253,Yes,Yes,4,1510,Koramangala 3rd Block,Cafe,900,Delivery,HSR,0,0,1,0,1,0,0,0,0,0
16257,Yes,No,4,83,HSR,Quick Bites,400,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16258,Yes,No,5,280,Sarjapur Road,Delivery,400,Delivery,HSR,1,0,0,0,0,0,0,0,1,0
16259,Yes,No,5,206,HSR,Dessert Parlor,400,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16260,Yes,No,4,467,BTM,Casual Dining,550,Delivery,HSR,0,0,0,1,0,0,1,0,1,0
16262,Yes,No,5,841,HSR,Quick Bites,300,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16263,Yes,No,4,668,HSR,Casual Dining,800,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16266,Yes,No,4,106,HSR,Quick Bites,150,Delivery,HSR,0,0,0,0,0,0,0,0,0,1
16269,Yes,No,4,44,Sarjapur Road,Cafe,600,Delivery,HSR,1,0,1,0,1,0,0,0,0,0
16271,Yes,No,4,434,Koramangala 4th Block,Quick Bites,400,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16272,Yes,No,5,778,Koramangala 1st Block,Cafe,700,Delivery,HSR,0,0,1,0,1,0,0,0,0,0
16273,Yes,Yes,5,893,Sarjapur Road,Casual Dining,1400,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16275,Yes,No,4,61,Sarjapur Road,Quick Bites,250,Delivery,HSR,0,0,0,0,0,0,1,0,1,0
16276,Yes,No,4,44,Sarjapur Road,Quick Bites,200,Delivery,HSR,1,0,0,0,0,1,1,0,0,0
16277,Yes,No,5,189,Koramangala 4th Block,Bakery,400,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16278,Yes,No,4,331,HSR,Quick Bites,350,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16279,Yes,No,4,754,Hosur Road,Quick Bites,250,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16280,Yes,Yes,5,326,Sarjapur Road,Casual Dining,1200,Delivery,HSR,0,0,0,1,1,0,0,0,1,1
16280,Yes,Yes,5,326,Sarjapur Road, Pub,1200,Delivery,HSR,0,0,0,1,1,0,0,0,1,1
16282,Yes,No,3,156,Sarjapur Road,Casual Dining,700,Delivery,HSR,0,1,0,0,0,0,0,0,1,0
16283,Yes,Yes,5,3030,Bellandur,Casual Dining,1000,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16284,Yes,No,4,174,HSR,Quick Bites,400,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16294,Yes,No,4,128,HSR,Cafe,650,Delivery,HSR,0,0,1,0,0,0,0,1,0,0
16295,Yes,No,4,140,HSR,Dessert Parlor,500,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16296,Yes,Yes,4,82,HSR,Cafe,500,Delivery,HSR,0,0,1,0,1,1,0,0,0,0
16296,Yes,Yes,4,82,HSR, Dessert Parlor,500,Delivery,HSR,0,0,1,0,1,1,0,0,0,0
16297,Yes,No,5,790,HSR,Casual Dining,1000,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16298,Yes,No,4,50,HSR,Quick Bites,450,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16299,Yes,No,4,60,Bellandur,Beverage Shop,600,Delivery,HSR,1,0,0,0,0,0,1,0,0,0
16300,Yes,No,3,111,Bellandur,Quick Bites,400,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16301,Yes,Yes,4,344,Bellandur,Cafe,1000,Delivery,HSR,0,0,1,0,0,0,0,1,0,0
16303,Yes,No,5,140,HSR,Cafe,800,Delivery,HSR,0,0,1,0,1,0,0,0,0,0
16304,Yes,Yes,4,1166,HSR,Casual Dining,600,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16305,Yes,Yes,4,601,HSR,Casual Dining,1000,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16306,Yes,No,4,572,Koramangala 1st Block,Casual Dining,600,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16307,Yes,No,4,95,Koramangala 1st Block,Quick Bites,150,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16308,Yes,No,5,57,Koramangala 1st Block,Beverage Shop,200,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16308,Yes,No,5,57,Koramangala 1st Block, Quick Bites,200,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16311,Yes,No,4,59,HSR,Cafe,600,Delivery,HSR,0,0,1,0,0,0,1,0,1,0
16316,Yes,No,4,121,HSR,Casual Dining,550,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16319,Yes,No,4,93,HSR,Bakery,350,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16320,Yes,No,4,51,Bellandur,Delivery,400,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16362,No,No,4,65,Koramangala 1st Block,Quick Bites,350,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16373,Yes,No,4,273,Bommanahalli,Casual Dining,550,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16380,Yes,No,4,226,Koramangala 1st Block,Takeaway,250,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16380,Yes,No,4,226,Koramangala 1st Block, Delivery,250,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16390,Yes,No,4,326,HSR,Delivery,200,Delivery,HSR,0,0,0,0,0,1,1,0,0,0
16391,Yes,No,5,70,HSR,Quick Bites,400,Delivery,HSR,0,0,0,0,1,1,0,0,0,0
16392,Yes,No,4,258,HSR,Casual Dining,550,Delivery,HSR,0,1,0,1,0,0,0,0,0,1
16393,Yes,No,4,204,Sarjapur Road,Casual Dining,500,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16395,Yes,No,5,671,HSR,Quick Bites,450,Delivery,HSR,0,0,0,0,0,0,0,1,0,0
16396,Yes,Yes,4,880,HSR,Casual Dining,1000,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16397,Yes,No,4,213,Sarjapur Road,Casual Dining,600,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16398,Yes,No,4,82,Koramangala 1st Block,Quick Bites,400,Delivery,HSR,0,1,0,1,0,1,0,0,1,1
16400,Yes,No,4,76,HSR,Casual Dining,700,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16402,Yes,Yes,4,558,HSR,Casual Dining,1000,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16403,Yes,No,5,162,HSR,Quick Bites,300,Delivery,HSR,0,1,0,0,0,0,0,0,0,0
16404,Yes,No,4,231,Koramangala 1st Block,Cafe,600,Delivery,HSR,0,0,1,0,1,0,0,0,0,0
16405,Yes,No,3,261,HSR,Casual Dining,700,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16406,Yes,No,4,450,HSR,Casual Dining,550,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16407,Yes,No,4,82,Sarjapur Road,Bakery,300,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16409,Yes,No,4,59,HSR,Delivery,300,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16411,Yes,Yes,4,224,HSR,Casual Dining,800,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16413,Yes,No,4,157,HSR,Bakery,300,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16415,Yes,Yes,4,533,HSR,Casual Dining,900,Delivery,HSR,0,1,0,0,0,0,0,0,0,0
16420,Yes,No,5,270,Koramangala 1st Block,Quick Bites,500,Delivery,HSR,0,0,0,1,0,0,1,0,0,0
16421,Yes,No,5,2068,HSR,Casual Dining,1200,Delivery,HSR,0,0,0,0,1,0,0,0,0,0
16422,Yes,No,4,160,Sarjapur Road,Casual Dining,500,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16423,Yes,No,4,452,HSR,Quick Bites,750,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16424,Yes,No,4,83,HSR,Quick Bites,350,Delivery,HSR,0,1,0,0,0,0,0,1,0,0
16425,Yes,Yes,5,2206,Bellandur,Bar,1400,Delivery,HSR,0,0,0,1,1,0,0,0,1,0
16425,Yes,Yes,5,2206,Bellandur, Casual Dining,1400,Delivery,HSR,0,0,0,1,1,0,0,0,1,0
16426,Yes,Yes,5,767,Koramangala 4th Block,Casual Dining,1700,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16427,Yes,No,4,135,Sarjapur Road,Casual Dining,400,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16430,Yes,No,4,163,HSR,Quick Bites,300,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16431,Yes,Yes,4,402,HSR,Casual Dining,800,Delivery,HSR,0,1,0,0,0,0,0,0,1,1
16432,Yes,No,4,301,HSR,Takeaway,400,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16432,Yes,No,4,301,HSR, Delivery,400,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16433,Yes,Yes,5,720,HSR,Cafe,950,Delivery,HSR,1,0,1,0,1,0,0,1,0,0
16434,Yes,No,4,356,HSR,Casual Dining,450,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16435,Yes,No,4,96,Koramangala 1st Block,Quick Bites,300,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16436,Yes,Yes,5,1059,HSR,Casual Dining,1200,Delivery,HSR,0,0,0,0,1,0,0,1,0,0
16436,Yes,Yes,5,1059,HSR, Bar,1200,Delivery,HSR,0,0,0,0,1,0,0,1,0,0
16437,Yes,Yes,4,392,Bellandur,Bar,1500,Delivery,HSR,0,1,0,0,0,0,0,0,1,0
16438,Yes,No,4,95,Koramangala 1st Block,Quick Bites,300,Delivery,HSR,0,0,0,0,0,0,1,0,1,0
16442,Yes,No,5,425,Koramangala 1st Block,Quick Bites,250,Delivery,HSR,0,1,0,0,0,0,0,0,0,0
16443,Yes,No,4,82,HSR,Quick Bites,200,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16444,Yes,No,4,484,HSR,Cafe,700,Delivery,HSR,0,0,1,1,0,0,0,1,0,0
16444,Yes,No,4,484,HSR, Casual Dining,700,Delivery,HSR,0,0,1,1,0,0,0,1,0,0
16445,Yes,No,5,895,Sarjapur Road,Cafe,600,Delivery,HSR,0,0,1,0,1,0,0,1,0,0
16446,Yes,No,4,84,Bellandur,Quick Bites,200,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16449,Yes,No,4,117,HSR,Casual Dining,600,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16450,Yes,No,4,240,Bommanahalli,Casual Dining,800,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16451,Yes,No,4,533,Bellandur,Quick Bites,300,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16453,Yes,No,5,166,Koramangala 4th Block,Cafe,700,Delivery,HSR,0,0,1,0,0,1,0,0,0,0
16454,Yes,Yes,4,46,HSR,Quick Bites,300,Delivery,HSR,1,0,0,0,0,0,0,0,1,1
16455,Yes,Yes,4,161,HSR,Casual Dining,900,Delivery,HSR,0,0,0,0,1,0,0,0,1,0
16455,Yes,Yes,4,161,HSR, Lounge,900,Delivery,HSR,0,0,0,0,1,0,0,0,1,0
16460,Yes,No,4,400,HSR,Casual Dining,850,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16463,Yes,No,4,768,HSR,Quick Bites,500,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16464,Yes,Yes,5,252,Koramangala 4th Block,Casual Dining,750,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16465,Yes,No,5,131,HSR,Casual Dining,650,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16466,Yes,No,3,89,Bellandur,Quick Bites,350,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16467,Yes,No,4,141,HSR,Casual Dining,500,Delivery,HSR,0,1,0,1,0,0,0,0,0,1
16469,Yes,No,4,164,HSR,Quick Bites,500,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16471,Yes,No,4,81,Bellandur,Quick Bites,300,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16472,Yes,No,4,178,Koramangala 1st Block,Casual Dining,800,Delivery,HSR,0,0,0,0,0,0,1,0,1,0
16473,Yes,No,4,69,BTM,Delivery,400,Delivery,HSR,0,1,0,0,0,0,0,0,1,1
16474,Yes,No,4,51,HSR,Delivery,600,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16475,Yes,No,4,236,HSR,Quick Bites,400,Delivery,HSR,0,1,0,0,0,0,0,0,1,0
16476,Yes,No,3,137,South Bangalore,Takeaway,650,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16478,Yes,No,4,92,HSR,Dessert Parlor,100,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16479,Yes,No,4,86,HSR,Casual Dining,500,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16480,Yes,No,3,827,Sarjapur Road,Casual Dining,800,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16482,Yes,No,4,59,HSR,Quick Bites,200,Delivery,HSR,0,0,0,0,0,0,0,0,0,1
16485,Yes,Yes,5,1148,HSR,Casual Dining,1800,Delivery,HSR,0,0,0,0,0,0,0,1,1,0
16486,Yes,No,4,62,HSR,Quick Bites,500,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16487,Yes,No,3,140,HSR,Quick Bites,250,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16490,Yes,Yes,5,715,Sarjapur Road,Casual Dining,1500,Delivery,HSR,0,0,0,0,0,0,0,1,0,0
16494,Yes,No,4,57,Bellandur,Dessert Parlor,300,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16495,Yes,No,4,135,Sarjapur Road,Quick Bites,400,Delivery,HSR,0,1,0,0,0,0,1,0,0,0
16496,Yes,No,4,144,HSR,Quick Bites,150,Delivery,HSR,0,0,0,0,0,0,0,0,0,1
16497,Yes,No,4,92,HSR,Beverage Shop,250,Delivery,HSR,1,0,0,0,0,0,1,0,0,0
16497,Yes,No,4,92,HSR, Quick Bites,250,Delivery,HSR,1,0,0,0,0,0,1,0,0,0
16498,Yes,No,4,65,Bommanahalli,Casual Dining,400,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16503,Yes,No,4,53,Koramangala 4th Block,Cafe,450,Delivery,HSR,0,0,1,0,0,0,0,1,0,0
16506,Yes,No,5,169,Koramangala 4th Block,Dessert Parlor,450,Delivery,HSR,1,0,0,0,0,1,0,0,0,0
16508,Yes,No,3,235,Bellandur,Casual Dining,800,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16509,Yes,No,4,432,Sarjapur Road,Delivery,450,Delivery,HSR,0,1,0,0,0,0,0,0,1,0
16511,Yes,Yes,4,59,HSR,Casual Dining,700,Delivery,HSR,0,0,0,1,1,0,0,0,1,1
16513,Yes,No,4,88,HSR,Casual Dining,600,Delivery,HSR,0,0,0,1,1,0,0,1,1,0
16514,Yes,No,4,101,HSR,Cafe,650,Delivery,HSR,0,1,1,1,1,0,0,1,0,0
16515,Yes,No,4,90,HSR,Bakery,400,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16516,Yes,No,4,182,Bellandur,Quick Bites,400,Delivery,HSR,0,0,0,1,0,0,1,1,1,1
16520,Yes,No,4,35,HSR,Takeaway,300,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16520,Yes,No,4,35,HSR, Delivery,300,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16521,Yes,No,4,34,HSR,Quick Bites,350,Delivery,HSR,0,0,0,0,0,1,1,1,1,0
16521,Yes,No,4,34,HSR, Bakery,350,Delivery,HSR,0,0,0,0,0,1,1,1,1,0
16522,Yes,No,4,80,HSR,Quick Bites,800,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16524,Yes,Yes,4,202,HSR,Cafe,500,Delivery,HSR,0,0,1,0,0,0,1,0,1,0
16530,Yes,No,4,88,HSR,Quick Bites,250,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16533,Yes,No,4,212,HSR,Delivery,600,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16534,Yes,No,4,120,HSR,Beverage Shop,400,Delivery,HSR,1,0,0,0,0,0,1,0,0,0
16534,Yes,No,4,120,HSR, Quick Bites,400,Delivery,HSR,1,0,0,0,0,0,1,0,0,0
16537,Yes,Yes,4,127,HSR,Casual Dining,900,Delivery,HSR,0,0,0,1,0,0,0,0,1,1
16538,Yes,No,4,68,HSR,Casual Dining,400,Delivery,HSR,1,0,0,0,0,1,1,0,0,1
16539,Yes,No,4,53,Koramangala 1st Block,Quick Bites,100,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16540,Yes,No,4,93,Koramangala 1st Block,Quick Bites,250,Delivery,HSR,1,0,0,0,0,0,1,0,0,0
16541,Yes,No,4,89,HSR,Quick Bites,400,Delivery,HSR,0,0,0,1,0,0,1,0,1,0
16548,No,No,4,40,HSR,Quick Bites,150,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16555,Yes,Yes,4,390,HSR,Cafe,1300,Delivery,HSR,0,0,1,0,1,0,0,1,0,0
16555,Yes,Yes,4,390,HSR, Casual Dining,1300,Delivery,HSR,0,0,1,0,1,0,0,1,0,0
16560,Yes,Yes,4,499,HSR,Cafe,700,Delivery,HSR,1,0,1,0,1,1,0,0,0,0
16560,Yes,Yes,4,499,HSR, Casual Dining,700,Delivery,HSR,1,0,1,0,1,1,0,0,0,0
16563,Yes,Yes,4,111,HSR,Casual Dining,800,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16565,Yes,No,4,179,HSR,Quick Bites,300,Delivery,HSR,0,0,0,0,0,0,0,0,0,0
16566,Yes,No,3,39,HSR,Casual Dining,450,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16571,Yes,No,4,75,HSR,Dessert Parlor,500,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16572,Yes,No,3,137,Koramangala 1st Block,Quick Bites,500,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16576,Yes,No,4,61,HSR,Quick Bites,400,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16587,Yes,No,5,93,HSR,Casual Dining,700,Delivery,HSR,0,0,0,0,0,0,0,1,0,0
16588,Yes,No,5,129,HSR,Dessert Parlor,350,Delivery,HSR,1,0,0,0,0,1,0,0,0,0
16589,Yes,No,4,75,Koramangala 1st Block,Bakery,500,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16591,Yes,No,4,108,Bellandur,Cafe,400,Delivery,HSR,0,0,1,0,0,0,0,0,0,0
16598,Yes,No,4,44,Sarjapur Road,Quick Bites,600,Delivery,HSR,0,0,0,0,0,0,0,1,0,0
16603,Yes,No,4,34,Bellandur,Delivery,450,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16606,Yes,No,4,48,HSR,Quick Bites,400,Delivery,HSR,1,0,0,0,0,0,1,0,0,0
16618,Yes,No,4,122,HSR,Quick Bites,300,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16624,Yes,No,4,38,Koramangala 1st Block,Casual Dining,400,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16630,Yes,No,3,318,Koramangala 1st Block,Casual Dining,600,Delivery,HSR,0,1,0,0,0,0,0,0,1,0
16631,Yes,No,4,483,Koramangala 4th Block,Casual Dining,800,Delivery,HSR,0,0,0,1,1,1,0,1,0,0
16632,Yes,No,3,317,Sarjapur Road,Quick Bites,500,Delivery,HSR,0,0,0,0,0,0,1,0,1,0
16633,Yes,No,4,165,HSR,Casual Dining,700,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16634,Yes,No,4,212,HSR,Casual Dining,800,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16635,Yes,No,4,190,HSR,Quick Bites,250,Delivery,HSR,0,0,0,1,0,0,1,0,1,1
16637,Yes,No,5,111,Bellandur,Dessert Parlor,600,Delivery,HSR,0,0,0,0,0,1,0,0,0,0
16638,Yes,No,5,1022,HSR,Dessert Parlor,500,Delivery,HSR,1,0,0,0,0,1,0,0,0,0
16639,Yes,Yes,5,1694,Bellandur,Casual Dining,1100,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16639,Yes,Yes,5,1694,Bellandur, Bar,1100,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16640,Yes,Yes,4,426,Electronic City,Casual Dining,900,Delivery,HSR,0,0,0,1,1,0,0,0,1,0
16641,Yes,No,4,133,Bellandur,Quick Bites,200,Delivery,HSR,0,0,0,0,0,0,1,0,0,0
16642,Yes,No,4,1245,HSR,Casual Dining,1400,Delivery,HSR,0,0,0,0,1,0,0,0,1,0
16642,Yes,No,4,1245,HSR, Bar,1400,Delivery,HSR,0,0,0,0,1,0,0,0,1,0
16643,Yes,No,4,283,HSR,Quick Bites,400,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16644,Yes,No,3,188,HSR,Casual Dining,400,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16645,Yes,No,4,211,HSR,Quick Bites,200,Delivery,HSR,0,0,0,1,0,0,1,0,0,1
16646,Yes,No,4,248,HSR,Casual Dining,500,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16647,Yes,No,4,251,Bellandur,Quick Bites,250,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16648,Yes,No,4,93,Koramangala 1st Block,Casual Dining,550,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16649,Yes,No,4,492,HSR,Casual Dining,800,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16650,Yes,No,4,323,Koramangala 1st Block,Quick Bites,500,Delivery,HSR,0,0,0,1,0,0,0,0,0,0
16651,Yes,No,3,243,Sarjapur Road,Quick Bites,300,Delivery,HSR,0,0,0,1,0,0,0,0,1,0
16652,Yes,No,3,255,Bommanahalli,Casual Dining,550,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16653,Yes,No,3,289,Bellandur,Casual Dining,500,Delivery,HSR,0,0,0,0,0,0,0,1,0,0
16654,Yes,No,4,261,HSR,Quick Bites,400,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16655,Yes,No,4,131,HSR,Quick Bites,400,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16662,Yes,No,4,36,HSR,Delivery,500,Delivery,HSR,0,0,0,0,0,0,0,0,1,0
16670,Yes,No,4,64,HSR,Casual Dining,300,Delivery,HSR,1,0,0,1,0,0,0,0,1,1
16675,Yes,No,3,76,Bellandur,Casual Dining,800,Delivery,HSR,0,1,0,1,0,0,0,0,1,0
16699,Yes,Yes,4,43,Sarjapur Road,Quick Bites,500,Delivery,HSR,0,1,0,0,0,0,0,0,0,1
16733,Yes,No,4,54,HSR,Quick Bites,500,Delivery,HSR,0,1,0,0,0,0,1,0,0,0
