,online_order,book_table,rate,votes,location,rest_type,cost_two,type,city,Beverages,Biryani,Cafe,Chinese,Continental,Desserts,Fast Food,Italian,North Indian,South Indian
67,No,No,5,868,Banashankari,Pub,1200,Delivery,Banashankari,0,0,0,1,1,0,0,1,1,0
71,No,No,5,520,Banashankari,Quick Bites,300,Delivery,Banashankari,0,1,0,1,0,0,0,0,0,0
74,No,No,4,299,Banashankari,Quick Bites,300,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
76,Yes,No,5,558,Basavanagudi,Quick Bites,150,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
79,No,No,4,39,Banashankari,Quick Bites,350,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
81,Yes,No,5,146,Banashankari,Beverage Shop,400,Delivery,Banashankari,1,0,0,0,0,1,0,0,0,0
86,Yes,No,5,4401,Jayanagar,Casual Dining,600,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
94,No,No,3,283,Banashankari,Casual Dining,600,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
95,No,No,4,62,Banashankari,Bar,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
98,No,No,4,65,Banashankari,Quick Bites,300,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
99,Yes,No,4,71,Basavanagudi,Dessert Parlor,400,Delivery,Banashankari,1,0,0,0,0,1,0,0,0,0
100,No,No,4,52,Banashankari,Quick Bites,300,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
101,No,No,4,130,Banashankari,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
103,No,No,4,45,Banashankari,Takeaway,400,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
103,No,No,4,45,Banashankari, Delivery,400,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
120,Yes,No,5,201,Banashankari,Quick Bites,300,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
145,Yes,No,4,771,Banashankari,Casual Dining,450,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
146,No,No,3,98,Banashankari,Bar,800,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
148,Yes,Yes,5,175,Jayanagar,Casual Dining,500,Delivery,Banashankari,1,0,0,1,0,0,0,0,1,1
150,Yes,No,4,540,Basavanagudi,Casual Dining,650,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
151,Yes,No,4,124,Kumaraswamy Layout,Quick Bites,400,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
152,Yes,No,5,340,Banashankari,Takeaway,500,Delivery,Banashankari,0,0,0,0,0,0,1,0,1,0
152,Yes,No,5,340,Banashankari, Delivery,500,Delivery,Banashankari,0,0,0,0,0,0,1,0,1,0
153,Yes,No,4,505,Banashankari,Quick Bites,450,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
155,Yes,No,5,438,Jayanagar,Dessert Parlor,500,Delivery,Banashankari,1,0,0,0,0,1,1,0,0,0
156,Yes,No,4,264,Mysore Road,Casual Dining,750,Delivery,Banashankari,1,1,0,1,0,0,0,0,1,0
159,Yes,No,4,97,Jayanagar,Quick Bites,350,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
162,Yes,No,4,195,Jayanagar,Casual Dining,800,Delivery,Banashankari,0,1,0,1,0,0,0,0,0,0
164,Yes,No,5,228,Jayanagar,Cafe,400,Delivery,Banashankari,1,0,1,0,0,0,0,0,0,0
166,Yes,Yes,5,364,Jayanagar,Casual Dining,1200,Delivery,Banashankari,0,0,0,1,0,0,0,0,0,0
167,Yes,No,4,107,Basavanagudi,Beverage Shop,150,Delivery,Banashankari,1,0,0,0,0,0,0,0,0,0
168,Yes,No,4,167,Kumaraswamy Layout,Quick Bites,300,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,1
174,Yes,No,5,64,Basavanagudi,Quick Bites,500,Delivery,Banashankari,0,0,0,0,0,1,0,0,0,0
176,Yes,No,3,290,Banashankari,Quick Bites,450,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,0
177,Yes,No,5,233,Basavanagudi,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
178,Yes,No,4,115,Kumaraswamy Layout,Quick Bites,250,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
180,Yes,Yes,4,291,Jayanagar,Cafe,650,Delivery,Banashankari,0,0,1,0,1,1,0,1,0,0
181,Yes,No,5,155,Jayanagar,Beverage Shop,300,Delivery,Banashankari,1,0,0,0,0,0,0,0,0,0
182,Yes,No,5,305,Kumaraswamy Layout,Casual Dining,700,Delivery,Banashankari,0,0,0,0,0,0,0,1,0,0
185,Yes,No,4,38,Banashankari,Dessert Parlor,150,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
186,Yes,No,4,441,Banashankari,Quick Bites,400,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,1
188,Yes,No,5,630,Jayanagar,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
190,Yes,No,4,160,Kumaraswamy Layout,Quick Bites,300,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
191,Yes,No,5,287,Banashankari,Quick Bites,350,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
193,Yes,No,5,402,Banashankari,Cafe,500,Delivery,Banashankari,0,0,1,0,0,0,0,0,0,0
194,Yes,No,4,469,Basavanagudi,Casual Dining,750,Delivery,Banashankari,1,0,0,1,0,0,0,0,1,0
195,Yes,No,4,511,Kumaraswamy Layout,Casual Dining,550,Delivery,Banashankari,0,0,0,1,0,1,0,0,1,0
198,Yes,No,4,264,Banashankari,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
199,Yes,No,3,62,Banashankari,Cafe,400,Delivery,Banashankari,0,0,1,0,0,0,0,0,1,0
200,Yes,No,4,693,Banashankari,Casual Dining,750,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
201,Yes,No,4,242,Jayanagar,Casual Dining,650,Delivery,Banashankari,0,1,0,1,0,0,0,0,0,0
203,Yes,No,5,163,Basavanagudi,Quick Bites,500,Delivery,Banashankari,0,0,0,0,1,0,1,0,0,0
204,Yes,No,5,191,Basavanagudi,Quick Bites,250,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
205,Yes,No,4,32,Banashankari,Quick Bites,150,Delivery,Banashankari,0,0,0,0,0,0,1,0,0,0
206,Yes,No,3,247,Banashankari,Casual Dining,500,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
207,Yes,Yes,5,2339,Jayanagar,Casual Dining,1500,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
208,Yes,No,5,337,Jayanagar,Quick Bites,300,Delivery,Banashankari,0,0,0,1,0,0,1,0,0,0
209,Yes,No,4,135,Banashankari,Casual Dining,800,Delivery,Banashankari,0,0,0,1,1,0,0,0,1,0
210,Yes,No,4,172,Uttarahalli,Casual Dining,700,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
211,Yes,No,4,105,Banashankari,Casual Dining,700,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,0
212,Yes,No,5,504,Banashankari,Cafe,550,Delivery,Banashankari,1,0,1,0,0,0,0,1,0,0
217,Yes,Yes,5,1129,Jayanagar,Casual Dining,1300,Delivery,Banashankari,0,0,0,0,0,0,0,1,0,0
219,Yes,No,5,860,Banashankari,Dessert Parlor,500,Delivery,Banashankari,0,0,0,0,0,1,0,0,0,0
220,Yes,No,4,412,Jayanagar,Casual Dining,700,Delivery,Banashankari,0,0,0,1,0,0,0,0,1,0
221,Yes,Yes,4,142,Jayanagar,Casual Dining,1000,Delivery,Banashankari,0,0,0,0,0,0,0,0,0,1
223,Yes,No,4,143,Jayanagar,Casual Dining,750,Delivery,Banashankari,0,1,0,1,0,0,0,0,1,1
226,Yes,No,5,181,Jayanagar,Beverage Shop,250,Delivery,Banashankari,1,0,0,0,0,0,0,0,0,0
227,Yes,No,4,70,Jayanagar,Quick Bites,200,Delivery,Banashankari,0,0,0,0,0,0,0,0,1,0
228,Yes,No,4,164,Basavanagudi,Quick Bites,600,Delivery,Banashankari,0,0,0,0,0,0,0,1,0,0
229,Yes,No,4,58,Kumaraswamy Layout,Quick Bites,650,Delivery,Banashankari,1,0,1,0,0,0,0,0,0,0
